target,cube ID,X,Y,Z,border_label,sintering_duration_sum,sintering_duration_sum,senor1_mean,senor2_mean,senor3_mean,sensor1_var,sensor2_var,sensor3_var,sensor1_skew,sensor2_skew,sensor3_skew,mean_scanspeed,mean_hacthspacing,mean_energydensity,var_scanspeed,var_hatchspacing,var_energydensity
1,12,0.1928722,9.1734994,4.7508046,0,110,22,615,388.2,197.2,40580.5,11945.2,3405.2,-1.492518244,-1.240495447,-0.8191497601,1.899252031,5.00E-05,163397927200,0.747996597,0,8.92E+21
0,24,9.875,7.875,6.625,1,100,20,486,331.6,160.6,1.5,902.8,128.3,0.9128709292,0.1410186684,-0.1565287302,2.6,0.0001,64543296703,1.64375,0,5.28E+21
1,3,8.0608972,9.1268964,7.3414776,1,130,26,752.5,495.3,245.6,15454,7637.45,1200.3,-1.453853705,-1.26639393,-1.33221171,2.2,7.40E-05,100733000000,0.35625,1.80E-10,1.39E+21
0,42,2.625,9.125,5.625,0,100,20,698.8,488.4,231.8,139.7,778.8,140.2,0.09823538335,1.452065993,1.177858166,1.944646,5.00E-05,144543506107,0.02293991774,0,1.70E+20
0,27,7.625,4.375,4.625,0,100,20,692.6,508.4,236.4,83.8,666.8,100.3,0.3405149438,0.8489109352,1.375761524,1.787887253,5.00E-05,166042856375,0.3480739624,0,1.91E+21
1,42,9.6696122,9.2275506,4.8646728,0,100,20,693.2,524.2,261.4,357.7,4389.2,949.3,-1.157650053,0.5578046916,1.173695643,1.146876302,5.00E-05,474209331049,0.7152184352,0,1.81E+23
0,40,0.875,0.125,6.375,1,100,20,497.4,319.6,155.4,35.3,880.3,141.8,-0.3115323533,-0.8958554198,0.07730983503,3.07424717,0.0001,32440804037,0.03000541889,0,3.39E+18
0,2,9.875,5.625,6.125,1,100,20,817.2,559.2,278.6,16.7,474.7,102.8,0.2329592161,-0.8139484694,-0.3283007754,1.85,0.0001,94935168831,0.33125,0,7.49E+20
1,11,0.5911188,9.69265,6.670689,0,100,20,712.2,474.4,258,163.2,1110.8,396,0.7882045317,1.27131138,-1.161121985,2.171616096,5.00E-05,139566034916,0.3394794127,0,1.54E+21
1,5,0.1613508,1.200922,6.9128526,0,90,18,609.4,393.6,189,37682.3,8302.3,1320.5,-1.481670755,-1.434095332,-1.382385171,2.279754117,5.00E-05,129298030461,0.7915959018,0,5.75E+21
1,5,1.9481138,1.1359996,6.953645,0,100,20,706.8,571,281,21.2,7809.5,1712.5,-0.1319482681,-0.391601572,-0.3641992232,1.779511598,5.00E-05,167016354726,0.2135480921,0,1.63E+21
1,3,0.5585246,7.1652544,6.9443232,0,100,20,696.6,545.2,263,35.8,23265.2,3783,0.3551360594,0.4023182881,0.4030644068,1.581704955,5.00E-05,181837148662,0.09151179359,0,1.38E+21
1,8,3.8350544,4.0771164,6.9206504,0,100,20,708.8,547.4,250.6,941.2,1094.8,147.8,-1.489141574,-0.4984030694,-0.1801697697,1.827777265,5.00E-05,165107269934,0.2459128378,0,2.31E+21
0,31,8.125,3.625,3.375,0,100,20,728.4,563.2,265.4,695.3,7099.2,1586.3,-0.7223503037,0.3234029853,0.6070968653,1.746328265,5.00E-05,182655488310,0.4222969884,0,2.88E+21
1,33,0.42699,9.7388272,4.147072,0,100,20,734.6,499.2,246.8,341.8,1802.2,580.7,-0.418215667,-1.031398562,0.4932948189,1.562408533,5.00E-05,219195905222,0.6985994708,0,5.59E+21
0,22,4.875,3.375,6.125,0,100,20,722.4,538.2,255.2,54.8,447.2,31.2,0.05556159399,0.9888675964,0.2278746804,1.600311944,5.00E-05,195470495414,0.2831271033,0,3.48E+21
0,27,4.375,5.375,1.875,0,100,20,718.6,566.6,247.4,172.8,7532.8,617.8,-1.247750182,0.4387419858,0.6558285431,1.224824292,5.00E-05,304695229335,0.4216318177,0,3.13E+22
0,30,7.375,6.875,1.125,0,100,20,734.2,550.6,261,43.2,3787.8,564,-0.662222198,-0.8661412654,-0.9804937588,2.128503849,5.00E-05,144419519469,0.2743392084,0,1.11E+21
1,3,0.1880656,4.8222314,4.923296,0,100,20,716.2,440.6,216.2,179.2,1018.8,238.7,-0.2114917103,-0.08361037503,-0.2652616729,1.502056945,5.00E-05,193688250083,0.03915616741,0,7.98E+20
0,4,4.375,9.875,4.625,1,110,22,544.8,321.8,160.4,38228.7,9637.2,1504.3,-0.3725093751,-0.3790081421,-0.6701669131,1.968971423,5.00E-05,171423214011,1.466439418,0,1.98E+22
0,26,4.125,6.375,6.625,0,100,20,719.4,480.6,231.2,1333.8,2173.3,226.7,-0.3973582509,0.08089861298,0.06656472978,1.983154873,5.00E-05,152719510605,0.1932459357,0,2.05E+21
1,37,8.5046412,1.7405196,8.0007346,0,100,20,702,517,274.2,48.5,3002.5,213.2,-0.4468648215,0.2684958096,0.003167690857,1.709794517,5.00E-05,186811421196,0.5957533874,0,4.46E+21
0,37,0.625,5.125,5.875,0,100,20,719,493.4,242.8,220.5,3296.8,791.2,-1.345018001,0.5229637812,-0.0222812113,1.266710409,5.00E-05,236703157652,0.1036809252,0,2.31E+21
0,14,8.375,4.125,5.625,0,100,20,697,461.4,218.8,2476,1867.8,327.7,0.4075825812,0.3165565591,0.2447988504,1.643844672,5.00E-05,170793529438,0.04409336596,0,2.20E+20
0,4,3.625,5.875,5.125,0,100,20,695.4,581.8,267.4,810.8,6495.2,884.8,0.930346584,-0.03872388035,-0.205024258,1.747967251,5.00E-05,209925820437,0.930763113,0,1.46E+22
1,3,0.1904532,7.4926858,5.614684,0,100,20,696.8,457.4,232.6,19.2,1883.8,539.8,-0.5677202789,0.3453338772,-0.06999448984,2.037553102,5.00E-05,143366557535,0.2635966942,0,1.09E+21
0,38,9.625,5.125,5.875,0,100,20,736.4,492.6,239.2,464.8,827.8,61.2,0.4039090582,-0.8723600879,-0.589596443,1.540918851,5.00E-05,197742957372,0.1257113683,0,1.32E+21
0,8,1.125,3.875,5.375,0,100,20,686.8,590.2,259.8,57.2,5501.2,363.2,1.328592118,0.3147434113,-0.1467959665,1.259674265,5.00E-05,322771905510,0.4384009316,0,7.08E+22
1,19,8.2514921,1.7543626,6.9503938,0,100,20,699.4,571,282,203.8,1046,166.5,0.4082445985,-0.8843399491,-1.167767817,1.820596636,5.00E-05,165811111335,0.3099098634,0,2.50E+21
0,14,4.125,7.375,3.625,0,100,20,723.6,571.6,258.2,230.8,2210.3,57.2,-0.4058972014,-0.1936008837,-0.8285093003,2.022371128,5.00E-05,149102840834,0.1843937769,0,1.29E+21
1,7,9.8856646,9.6927516,0.7234568,1,100,20,512.2,336.4,165.6,88.7,1198.8,232.8,-0.3720344246,0.2376670109,0.08732721666,2.1,5.00E-05,115287619048,0.83125,0,3.16E+21
1,22,9.2696384,9.7443898,5.6398554,0,90,18,699.8,494.2,250.2,494.2,7504.7,1567.7,-0.3966537207,1.001562772,0.720732057,2.123297844,5.00E-05,150226808888,0.7863828305,0,3.33E+21
0,17,3.125,0.125,1.875,1,100,20,505,507.8,250.2,271,414.2,37.2,0.4082462033,0.2780283969,-0.3083728649,1.386811212,0.0001,84516764544,0.345943328,0,1.51E+21
1,3,0.4881666,4.420124,6.9392432,0,100,20,695.8,467.2,241.8,2.2,1726.7,279.2,0.3700366502,0.9244037738,0.72992866,1.610048831,5.00E-05,182263125923,0.1971784517,0,1.85E+21
1,43,9.6204886,9.5864018,2.9590124,0,100,20,724.4,509.8,259,57.3,838.2,168.5,-1.425025159,0.7322015783,0.4063705973,1.55244659,5.00E-05,208476485139,0.3780119824,0,4.91E+21
1,1,0.5135472,9.6174914,5.7278664,0,100,20,692.8,483,248.8,166.7,2349,189.2,-1.106043337,1.038863953,0.6054392843,1.439297366,5.00E-05,200205697786,0.09802886379,0,2.10E+21
0,22,4.125,8.625,5.125,0,100,20,700.2,550.4,262.4,547.2,2357.3,296.8,1.491794466,0.5110854118,0.3948382244,1.42503339,5.00E-05,216896826881,0.2897247958,0,4.95E+21
0,36,1.875,0.625,8.875,1,100,20,183.2,103,74,3.7,146.5,16,0.3958703373,0.9079481782,-0.6288941187,1.8,0.0001,20866666667,0.10625,0,1.26E+19
1,3,0.1920026,4.8473012,4.4480874,0,100,20,699.4,463.6,237.6,4.8,1620.3,168.8,1.026999606,-0.02617688469,0.07781524702,1.466780619,5.00E-05,193929905035,0.04506826855,0,7.73E+20
1,6,9.3847766,9.6191424,4.6333296,0,100,20,702,519.2,245.6,656.5,239.7,54.8,-0.2949119288,-0.8318249558,-0.6508643867,1.693350114,5.00E-05,186327949367,0.4625817395,0,4.27E+21
1,3,0.1851192,8.5118354,3.113292,0,100,20,695.2,586.4,264.2,613.7,22840.3,2176.2,0.3300100901,0.3682757318,0.3725434714,2.156142681,5.00E-05,152193620198,1.141935922,0,3.71E+21
1,18,9.7980346,6.1766356,3.323985,0,100,20,691,492.8,233.4,5,2357.2,179.3,0,0.8297406071,0.2206190256,1.780775326,5.00E-05,181514911755,0.8641740487,0,4.53E+21
1,22,8.8176708,9.6683422,8.0541,0,100,20,698,501.4,261.8,30.5,283.8,67.7,-0.3584255888,0.3943544194,-0.6806524421,1.735331873,5.00E-05,167614190787,0.1420291129,0,1.54E+21
0,36,9.875,0.375,6.125,1,100,20,185.2,104.8,72.6,1.7,48.7,8.8,0.3631734744,0.3025902777,-0.5936004596,2.1,0.0001,21903220779,1.08125,0,1.28E+20
0,8,9.875,7.375,3.875,1,90,18,412.4,252.2,137,99829.3,47736.2,8251,0.4080019355,0.407637694,0.4080479547,3.041981802,5.00E-05,61080732145,2.167308395,0,3.02E+21
1,26,0.2196438,9.7566072,2.7047838,1,100,20,591.8,353.6,175,53348.7,23330.8,3725.5,-1.493248204,-1.401751716,-1.417860499,2.187415728,5.00E-05,152443146876,1.081515541,0,1.50E+22
0,20,4.375,1.125,0.875,0,100,20,717,527.8,261,54,1378.7,116,0.4268516845,-0.2049677556,-0.4389418951,1.242529573,5.00E-05,252010344120,0.1639003244,0,6.89E+21
0,38,5.625,0.125,2.875,1,110,22,491.2,345.4,166.2,24979.7,5038.8,1290.2,-0.08830045408,-1.158374025,-0.4319332216,2.123167036,5.00E-05,119505321991,0.7228410629,0,8.57E+21
1,18,8.2189674,0.1866298,8.4647164,1,90,18,744.2,489.2,225.2,2771.2,5278.7,707.2,1.470476398,0.4127391895,0.2947414008,1.840582878,5.60E-05,241768044139,1.702818336,1.80E-10,3.71E+22
0,24,5.875,9.875,1.875,1,100,20,498.2,276.4,138.6,18.2,941.3,220.8,-0.4993752491,1.124719787,1.189116989,3.090931657,0.0001,32269263236,0.01080186357,0,1.54E+18
1,31,0.453781,9.5231304,3.7221046,0,100,20,726,491,237.6,856,638.5,170.8,0.3985644334,-0.668576256,0.1016962202,1.58573668,5.00E-05,217643795368,0.638048979,0,7.69E+21
0,10,2.625,9.375,1.625,0,100,20,712.4,478.4,232.2,50.8,1466.8,308.7,0.2623456949,0.3733982092,0.05710329742,2.186104134,5.00E-05,134694472698,0.1668108938,0,8.58E+20
1,13,9.7232316,9.7328582,6.9089918,0,100,20,698.4,482.2,245.2,14.3,2790.2,941.2,-1.090413139,-0.5288363017,-0.8191728322,1.623524736,5.00E-05,196455681995,0.3614592881,0,6.91E+21
1,42,0.5973418,9.7604172,3.3687652,0,100,20,698.4,522,262,220.8,73.5,100,-1.447247321,0.6680192514,0.8049844719,1.556220703,5.00E-05,215481622789,0.597721404,0,9.79E+21
1,16,9.8747426,9.9298352,6.4556018,1,100,20,186,113.2,82.6,2,277.2,66.8,0,0.4830286569,0.8882184456,1.749238975,5.00E-05,47577621208,0.4252037622,0,3.00E+20
1,1,0.711718,9.6546516,4.6451914,0,100,20,696.2,515,254.2,130.7,1349,81.2,-1.409821128,-0.007311089362,0.1940854912,2.007418974,5.00E-05,154297783896,0.5253363271,0,3.00E+21
1,39,9.8785018,1.8462852,8.181354,1,140,28,813.8,437.2666667,225,7.2,720.8555556,54.5,0.6701388889,-0.3665984358,0,0.5666666667,5.00E-05,1172266666666,0.08472222222,0,2.35E+24
1,18,9.7921164,9.6389858,6.111254,0,100,20,687,441.2,203,567,2115.2,374,-0.3937594044,0.3495794872,0.4764865965,1.424642169,5.00E-05,215277044522,0.2286183619,0,7.68E+21
1,2,0.5187034,9.7274988,3.6615256,0,90,18,693.2,452.6,241.2,125.7,2199.3,359.7,-0.3916495423,0.3121938921,0.2805613325,1.944365428,5.00E-05,163506613434,0.8368038534,0,3.35E+21
0,24,8.875,2.125,5.375,0,100,20,716.2,558.4,253,548.2,1594.3,344,0.0858269655,-0.3369776737,-0.3929613113,2.237467888,5.00E-05,138744993959,0.4140468138,0,2.40E+21
1,19,6.1019409,2.190252,6.8762004,0,100,20,714.6,557.6,262.6,17.8,1314.8,386.8,1.36132312,-0.1465269823,-0.1774296189,1.956287732,5.00E-05,159840499459,0.4192978876,0,2.79E+21
1,21,8.3355534,1.8723202,8.5029942,1,110,22,454.6,332.4,179.4,11050.3,10832.8,2758.8,-1.482237318,-0.4958138434,-0.6709264812,3.704459706,9.00E-05,28058520774,0.54934786,5.00E-10,1.60E+19
0,42,8.125,0.625,4.625,0,100,20,699.4,580.4,274,22.8,1874.8,326,0.7092172823,0.8198700995,0.6906411975,1.648070557,5.00E-05,172659214223,0.05795429893,0,6.24E+20
0,23,1.125,2.875,4.875,0,100,20,723.2,506.6,237,264.7,2980.8,133,-0.6066032734,1.052636458,1.036518699,1.465379069,5.00E-05,402816420932,1.17520523,0,1.98E+23
1,4,1.3743024,9.8495204,6.315724,0,120,24,519.6,326,154.2,58577.3,12805.5,1742.2,-0.4076163196,-0.4170973611,-0.2367723417,2.231460635,5.00E-05,151703075560,1.989270962,0,1.38E+22
0,41,1.625,2.625,1.875,0,120,24,694.6,503.7,241.4,126.3,897.95,36.3,-0.9868531335,0.63545728,-0.005827736678,1.581727671,5.00E-05,225583415143,0.7711094686,0,1.40E+22
1,40,1.8012002,0.7438744,6.9600712,0,100,20,710.6,500,247.4,39.8,1111.5,93.3,0.9121056912,0.233297849,-0.5384709713,1.570587048,5.00E-05,189526848823,0.119695405,0,2.44E+21
1,42,0.2429356,9.4359322,4.4185726,0,100,20,717,491,235.6,232.5,932,65.3,-0.3642525115,0.3043158145,0.1174649927,1.767192425,5.00E-05,348456829849,1.627538666,0,1.88E+23
1,42,0.2040228,9.390644,3.865132,0,100,20,728.8,446,221.8,575.7,2172.5,269.2,-1.478871999,0.2419673699,0.3198997505,1.848167201,5.00E-05,162721770498,0.1522224974,0,9.51E+20
0,10,7.125,7.125,6.625,0,100,20,715.8,568.6,278.6,50.2,1661.8,135.8,0.3768306028,0.08011394523,0.111653508,1.54801055,5.00E-05,199256375909,0.2545791723,0,3.25E+21
0,11,4.875,0.125,3.375,1,110,22,531.6,333,159.2,34440.3,7158.5,1115.2,-0.4568699038,-0.4432183577,-0.5685650471,2.345561686,6.20E-05,155048276175,1.91632825,2.70E-10,2.72E+22
1,19,4.4703211,6.2450064,6.8426978,0,100,20,694.8,509.4,261.2,18.7,261.8,233.2,0.02737523065,0.4314739155,0.5664684813,1.572923116,5.00E-05,179754040365,0.04801609076,0,7.68E+20
1,12,0.3261206,9.6986952,0.270524,0,100,20,687,462.4,242,243,1428.8,605.5,0.381631418,-0.4726655754,-0.513600589,1.509008336,5.00E-05,195074497180,0.2161173014,0,2.95E+21
0,17,5.875,1.875,4.125,0,100,20,705.8,527.4,250.6,126.2,1127.8,666.8,-1.393107187,0.4178630078,0.1580935714,1.776908587,5.00E-05,168585653895,0.2407448424,0,2.05E+21
0,34,7.375,7.125,0.625,0,100,20,727.2,547,248.2,3.2,2915,407.2,-1.5,0.5066860508,0.7229653759,1.68292763,5.00E-05,174650098096,0.03781824095,0,3.86E+20
1,3,8.2854332,1.90781,7.6651244,1,90,18,786.8,498.8,261,1486.7,459.7,47.5,-1.48126198,1.270129585,0.6915755322,2.31314759,7.40E-05,103896345465,1.296060281,1.80E-10,6.96E+20
0,35,5.625,7.625,6.125,0,100,20,711,510.2,235,3,1098.2,106,-1.290994449,1.066544646,0.373416704,1.628727844,5.00E-05,184960738849,0.1528070143,0,3.00E+21
0,23,5.125,3.125,1.375,0,100,20,706.6,513.8,236.6,69.8,3342.2,406.8,-0.3837506861,-0.4657735551,-0.3476468592,1.205384751,5.00E-05,243908162380,0.07443450159,0,2.80E+21
1,3,0.6613438,9.7047972,4.6990648,0,100,20,684.4,529.2,256,229.3,442.7,34,-0.3372058858,0.245416257,-0.4060402882,1.407425522,5.00E-05,245235954064,0.6020667498,0,1.50E+22
1,18,8.7334698,1.8745868,7.982091,1,110,22,651.8,421.2,207,44946.2,25899.2,5070,-1.289208912,-0.5964142641,-0.6016645123,1.918327103,5.60E-05,327428182297,1.30974863,1.80E-10,2.38E+23
0,29,7.625,8.875,3.625,0,120,24,728.6,639.2,293,1685.8,1513.7,338.5,-0.36640788,-1.033136388,0.2617426656,1.238046165,5.00E-05,240293713375,0.05280211615,0,1.09E+21
0,24,0.375,4.875,5.625,0,100,20,687.2,514.4,250.8,119.2,4610.3,874.7,0.2325738942,-0.8918000443,-1.213454552,1.466085002,5.00E-05,234659723186,0.6413684589,0,1.38E+22
0,29,9.875,4.375,0.875,1,110,22,465.4,353.8,176.4,12805.3,9240.2,1750.8,-1.498978604,-1.403879267,-1.258152038,2.568419839,5.00E-05,128528180213,4.903329967,0,9.55E+21
1,3,9.6990194,9.623187,5.1181648,0,100,20,685,446,241.6,81,7674.5,1172.8,1.453904282,-0.2195396765,-0.2745419594,1.196344029,5.00E-05,263250860549,0.3203262042,0,8.93E+21
1,19,5.3115691,2.7591612,6.8720348,0,100,20,693.2,560.2,277.2,311.7,5234.2,1555.7,-0.3643324951,-0.3665036158,0.1230687703,1.846454298,5.00E-05,157354878318,0.2226331578,0,1.26E+21
0,26,8.375,0.375,7.125,0,100,20,686,548.8,251.6,4,1369.2,158.8,0,0.2066690471,-0.1158521889,1.444937211,5.00E-05,212645246343,0.3120705692,0,5.74E+21
1,21,9.658487,9.7448978,0.942354,0,90,18,721.2,580.8,296.8,555.7,5706.7,685.7,0.4082477944,0.8478725922,0.9081355712,1.672240194,5.00E-05,186457748952,0.2388909177,0,3.71E+21
0,15,3.625,0.125,2.875,1,100,20,835,530.4,280.8,176,1698.3,115.2,-0.3986302454,0.04436915985,0.2521701389,1.082076746,5.00E-05,352467922827,0.2238873936,0,1.65E+22
0,10,6.375,4.875,1.625,0,100,20,718.6,510,247.4,2.8,1746,284.8,-0.7301958931,-0.2843016519,-0.2538663286,1.815323394,5.00E-05,176824654270,0.474501219,0,3.93E+21
1,3,2.7298182,3.9908386,6.950597,0,100,20,695,588.6,273.4,2,7325.3,1268.8,0.5929270613,-0.284350389,-0.2441184219,1.639886988,5.00E-05,177217926610,0.1540883353,0,1.64E+21
1,14,0.1882494,9.175633,2.0230224,0,110,22,0,369,182.8,0,14803.5,2684.7,0,-0.8889922259,-0.6600202125,2.150500881,5.00E-05,0,2.05255963,0,0
1,3,1.0025166,4.174379,6.9454408,0,100,20,695.8,570.6,272.2,9.7,1321.3,436.2,1.039188922,-0.05217524188,-0.4926696546,1.326695428,5.00E-05,285809425344,0.627974053,0,3.11E+22
0,30,8.125,8.375,1.625,0,100,20,769.4,656.8,297.4,0.8,4591.7,394.3,-0.84375,0.1260471523,0.0001799224623,1.536274576,5.00E-05,283672139936,1.018575534,0,3.16E+22
1,39,9.9058576,9.5931582,2.1051914,1,140,28,877.2,563.8,310.1,4.7,1255.2,262.3,-0.2830922144,-1.322667784,-1.280969445,0.775,5.00E-05,1107502222223,0.7375,0,1.11E+24
0,15,2.125,1.375,2.625,0,100,20,729.2,480.8,234.2,497.2,2243.2,285.2,-1.380588694,-0.26296023,-0.3568715702,1.446636967,5.00E-05,223899466543,0.212176857,0,8.36E+21
1,6,0.3493108,9.2718228,4.138309,0,100,20,702.4,469.8,228.4,295.3,3749.2,504.8,1.078384142,1.414515397,1.393107187,1.329845877,5.00E-05,213659024757,0.02376242896,0,6.91E+20
0,25,0.875,3.375,3.125,0,100,20,705,570.4,265.6,54,2406.3,204.8,0.4268516845,1.004212837,0.4729614258,1.527161064,5.00E-05,194441161487,0.1315988562,0,2.76E+21
1,4,0.6243166,9.8417226,5.0243372,0,90,18,673.2,499.2,244.6,205.7,6273.2,742.8,-0.4076492643,0.3787995498,0.2675688592,2.05919499,5.00E-05,145415707185,0.71526999,0,2.13E+21
0,33,7.875,5.125,4.375,0,100,20,689.2,510,238.6,157.7,838,55.3,-0.3877826174,-0.7781517922,-1.121642426,1.328002251,5.00E-05,215528523620,0.1080125274,0,1.65E+21
0,25,2.125,5.375,1.375,0,100,20,688.4,481.6,216.6,298.3,590.8,91.8,-0.4044025129,0.4446409717,-0.2399390601,1.735925581,5.00E-05,192552055746,0.5613279705,0,1.15E+22
